Date,Risk Country,Exchange Country,Sector,Risk Issuer,Description,Instrument Id,BBG ticker,BB ticker (Underlying),Instrument Type,PB account,Strategy,$ Daily P&L,$ MTD P&L,FX Rate (PBD),SOD Quantity,Quantity,Delta Shares,$ Delta,$ Delta (PBD),Gross Delta Adjusted MV,$ NMV,$ NMV (PBD),Native Currency,Avg Entry Price,Market Price,USD Price,Pricing Factor,Contract Multiplier,Option Type,Maturity Date,Option Strike,Underlying Market Price,$ Underlying Market Price,Instrument Delta,Model Volatility,Credit Spread,$ Gamma,$ Theta,$ Vega,Book DV01,90d Realized Vol,60d Avg Volm (Underlying),Market Cap Bucket,First Trade Date,Last Trade Date,Inactive Date,PantareiRelativeIndex,PantareiRelativeIndexBeta,Illogical Condition,$ Net Traded Tdy
9/26/2024,Japan,Japan,Financials,"Nihon M&A Center  ",NIHON M&A CENTER ORD,1196606,2127 JP Equity,2127 JP Equity,Equity,BAML Cash,SDD,,,,0.00000000,0.00000000,0.00000000,,,,,,JPY,0.00000000,,,,1.00000000,,,,,,,,,,,,,,,$1b - $3b,6/28/2024,7/2/2024,7/4/2024,TPX,,1.00000000,0.00000000
9/26/2024,Japan,Japan,Consumer Discretionary,Nikon,NIKON ORD,1197725,7731 JP Equity,7731 JP Equity,Equity,BAML Cash,SDD,,-14065.71566731,,0.00000000,0.00000000,0.00000000,,,,,,JPY,0.00000000,,,,1.00000000,,,,,,,,,,,,,,,$3b - $5b,7/17/2024,9/3/2024,9/5/2024,TPX,,1.00000000,0.00000000
9/26/2024,Japan,Japan,Consumer Discretionary,Nikon,NIKON ORD,1197725,7731 JP Equity,7731 JP Equity,Equity,UBS Cash,SDD,,,,0.00000000,0.00000000,0.00000000,,,,,,JPY,0.00000000,,,,1.00000000,,,,,,,,,,,,,,,$3b - $5b,6/4/2024,6/4/2024,6/6/2024,TPX,,1.00000000,0.00000000
9/26/2024,Japan,Japan,Communication Services,"Nintendo ",NINTENDO ORD,1197746,7974 JP Equity,7974 JP Equity,Equity,BAML Cash,SDD,,,,0.00000000,0.00000000,0.00000000,,,,,,JPY,0.00000000,,,,1.00000000,,,,,,,,,,,,,,,> $5b,7/2/2024,7/2/2024,7/4/2024,TPX,,1.00000000,0.00000000
9/26/2024,Japan,Japan,Communication Services,"Nintendo ",NINTENDO ORD,1197746,7974 JP Equity,7974 JP Equity,Equity,UBS Cash,SDD,-27819.18347610,-22033.01326333,144.76000000,0.00000000,0.00000000,0.00000000,,0.00000000,0.00000000,0.00000000,0.00000000,JPY,0.00000000,7996.00000000,55.25724750,,1.00000000,,,,7996.00000000,55.25724750,1.00000000,,,0.00000000,0.00000000,0.00000000,0.00000000,0.29578495,,> $5b,7/11/2024,9/26/2024,9/30/2024,TPX,,1.00000000,-19716.77258911
9/26/2024,Japan,Japan,Materials,"Nippon Paint  ",NIPPON PAINT HLD ORD,1197165,4612 JP Equity,4612 JP Equity,Equity,BAML Cash,SDD,,,,0.00000000,0.00000000,0.00000000,,,,,,JPY,0.00000000,,,,1.00000000,,,,,,,,,,,,,,,> $5b,5/9/2024,6/26/2024,6/28/2024,TPX,,1.00000000,0.00000000
9/26/2024,Japan,Japan,Materials,"Nippon Paint  ",NIPPON PAINT HLD ORD,1197165,4612 JP Equity,4612 JP Equity,Equity,UBS Cash,SDD,,,,0.00000000,0.00000000,0.00000000,,,,,,JPY,0.00000000,,,,1.00000000,,,,,,,,,,,,,,,> $5b,5/2/2024,5/8/2024,5/10/2024,TPX,,1.00000000,0.00000000
9/26/2024,Japan,Japan,Real Estate,"Nippon Prologis REIT ",NIPPON PROLOGIS REIT ORD,28869521,3283 JP Equity,3283 JP Equity,Equity,BAML Cash,SDD,,,,0.00000000,0.00000000,0.00000000,,,,,,JPY,0.00000000,,,,1.00000000,,,,,,,,,,,,,,,$3b - $5b,8/27/2024,8/28/2024,8/30/2024,TPX,,1.00000000,0.00000000
9/26/2024,Japan,Japan,Materials,Nippon Steel,NIPPON STEEL ORD,1197339,5401 JP Equity,5401 JP Equity,Equity,UBS Cash,SDD,,,,0.00000000,0.00000000,0.00000000,,,,,,JPY,0.00000000,,,,1.00000000,,,,,,,,,,,,,,,> $5b,8/16/2024,8/19/2024,8/21/2024,TPX,,,0.00000000
9/26/2024,Japan,Japan,Communication Services,Nippon Telegraph and Telephone,NTT ORD,1198656,9432 JP Equity,9432 JP Equity,Equity,BAML Cash,SDD,0.00000000,4462.89720917,144.76000000,0.00000000,0.00000000,0.00000000,,0.00000000,,,0.00000000,JPY,0.00000000,,,,1.00000000,,,,,,,,,,,,,,,> $5b,8/22/2024,9/24/2024,9/26/2024,TPX,,1.00000000,0.00000000
9/26/2024,Japan,Japan,Communication Services,Nippon Telegraph and Telephone,NTT ORD,1198656,9432 JP Equity,9432 JP Equity,Equity,UBS Cash,SDD,,-19675.10361978,,0.00000000,0.00000000,0.00000000,,,,,,JPY,0.00000000,,,,1.00000000,,,,,,,,,,,,,,,> $5b,5/20/2024,9/9/2024,9/11/2024,TPX,,1.00000000,0.00000000
9/26/2024,Japan,Japan,Materials,Nissan Chemical,NISSAN CHEMICAL ORD,1196945,4021 JP Equity,4021 JP Equity,Equity,BAML Cash,SDD,,,,0.00000000,0.00000000,0.00000000,,,,,,JPY,0.00000000,,,,1.00000000,,,,,,,,,,,,,,,> $5b,6/17/2024,7/1/2024,7/3/2024,TPX,,1.00000000,0.00000000
9/26/2024,Japan,Japan,Consumer Discretionary,"Nitori  ",NITORI HOLDINGS ORD,1198485,9843 JP Equity,9843 JP Equity,Equity,BAML Cash,SDD,,,,0.00000000,0.00000000,0.00000000,,,,,,JPY,0.00000000,,,,1.00000000,,,,,,,,,,,,,,,> $5b,5/21/2024,5/21/2024,5/23/2024,TPX,,1.00000000,0.00000000
9/26/2024,Japan,Japan,Materials,Nitto Denko,NITTO DENKO ORD,1197927,6988 JP Equity,6988 JP Equity,Equity,BAML Cash,SDD,,,,0.00000000,0.00000000,0.00000000,,,,,,JPY,0.00000000,,,,1.00000000,,,,,,,,,,,,,,,> $5b,7/2/2024,7/2/2024,7/4/2024,TPX,,,0.00000000
9/26/2024,Japan,Japan,Information Technology,"Nomura Research Institute ",NOMURA RESEARCH ORD,1196924,4307 JP Equity,4307 JP Equity,Equity,UBS Cash,SDD,,6160.74882564,,0.00000000,0.00000000,0.00000000,,,,,,JPY,0.00000000,,,,1.00000000,,,,,,,,,,,,,,,> $5b,8/6/2024,9/19/2024,9/24/2024,TPX,,1.00000000,0.00000000
9/26/2024,Japan,Japan,Information Technology,"Nomura Research Institute ",NOMURA RESEARCH ORD,1196924,4307 JP Equity,4307 JP Equity,Equity,BAML Cash,SDD,,,,0.00000000,0.00000000,0.00000000,,,,,,JPY,0.00000000,,,,1.00000000,,,,,,,,,,,,,,,> $5b,6/19/2024,6/21/2024,6/25/2024,TPX,,1.00000000,0.00000000
9/26/2024,Japan,United States,Financials,ORIX,ORIX ADR REP 5 ORD,1227465,IX US Equity,8591 JP Equity,Equity,BAML Cash,SDD,,,,0.00000000,0.00000000,0.00000000,,,,,,USD,0.00000000,,,,1.00000000,,,,,,,,,,,,,,,> $5b,8/6/2024,8/14/2024,8/14/2024,TPX,,,0.00000000
9/26/2024,Japan,Japan,Financials,ORIX,ORIX ORD,1198106,8591 JP Equity,8591 JP Equity,Equity,BAML Cash,SDD,,-7690.16993645,,0.00000000,0.00000000,0.00000000,,,,,,JPY,3351.34342000,,,,1.00000000,,,,,,,,,,,,,,,> $5b,8/6/2024,9/9/2024,9/11/2024,TPX,,1.00000000,0.00000000
9/26/2024,Japan,Japan,Financials,ORIX,ORIX ORD,1198106,8591 JP Equity,8591 JP Equity,Equity,UBS Cash,SDD,0.00000000,-99187.24095054,144.76000000,0.00000000,0.00000000,0.00000000,,0.00000000,0.00000000,0.00000000,0.00000000,JPY,3392.84750000,3488.00000000,24.10421202,,1.00000000,,,,3488.00000000,24.10421202,1.00000000,,,0.00000000,0.00000000,0.00000000,0.00000000,0.30756046,,> $5b,8/6/2024,9/25/2024,9/27/2024,TPX,,1.00000000,0.00000000
9/26/2024,Japan,Japan,Materials,"Okura Industrial ",OKURA INDU ORD,1196868,4221 JP Equity,4221 JP Equity,Equity,UBS Cash,SECONDARY,,,,0.00000000,0.00000000,0.00000000,,,,,,JPY,0.00000000,,,,1.00000000,,,,,,,,,,,,,,,<$0.5b,7/2/2024,7/22/2024,7/24/2024,TPX,,,0.00000000
9/26/2024,Japan,Japan,Health Care,Olympus,OLYMPUS CORP ORD,1197727,7733 JP Equity,7733 JP Equity,Equity,UBS Cash,SDD,,-767.78806300,,0.00000000,0.00000000,0.00000000,,,,,,JPY,2538.08663158,,,,1.00000000,,,,,,,,,,,,,,,> $5b,6/5/2024,9/9/2024,9/11/2024,TPX,,1.00000000,0.00000000
9/26/2024,Japan,Japan,Health Care,Olympus,OLYMPUS CORP ORD,1197727,7733 JP Equity,7733 JP Equity,Equity,BAML Cash,SDD,,-7863.07681680,,0.00000000,0.00000000,0.00000000,,,,,,JPY,2538.08664498,,,,1.00000000,,,,,,,,,,,,,,,> $5b,6/11/2024,9/9/2024,9/11/2024,TPX,,1.00000000,0.00000000
9/26/2024,Japan,Japan,Health Care,"Ono Pharmaceutical ",ONO PHARM ORD,1196887,4528 JP Equity,4528 JP Equity,Equity,BAML Cash,SDD,,,,0.00000000,0.00000000,0.00000000,,,,,,JPY,0.00000000,,,,1.00000000,,,,,,,,,,,,,,,> $5b,5/2/2024,5/14/2024,5/16/2024,TPX,,1.00000000,0.00000000
9/26/2024,Japan,Japan,Consumer Discretionary,"Optimus  ",OPTIMUS GROUP ORD,72034419,9268 JP Equity,9268 JP Equity,Equity,UBS Cash,SECONDARY,,,,0.00000000,0.00000000,0.00000000,,,,,,JPY,0.00000000,,,,1.00000000,,,,,,,,,,,,,,,<$0.5b,6/4/2024,6/12/2024,6/14/2024,TPX,,,0.00000000
9/26/2024,Japan,Japan,Consumer Discretionary,"Oriental Land ",ORIENTAL LAND ORD,1197189,4661 JP Equity,4661 JP Equity,Equity,BAML Cash,SDD,,,,0.00000000,0.00000000,0.00000000,,,,,,JPY,4504.56814480,,,,1.00000000,,,,,,,,,,,,,,,> $5b,6/26/2024,6/27/2024,7/1/2024,TPX,,1.00000000,0.00000000
9/26/2024,Japan,Japan,Consumer Discretionary,"Oriental Land ",ORIENTAL LAND ORD,1197189,4661 JP Equity,4661 JP Equity,Equity,UBS Cash,SDD,,,,0.00000000,0.00000000,0.00000000,,,,,,JPY,4471.96750000,,,,1.00000000,,,,,,,,,,,,,,,> $5b,5/31/2024,7/23/2024,7/25/2024,TPX,,1.00000000,0.00000000
9/26/2024,Japan,Japan,Materials,"Osaka Titanium Technologies ",OSAKA TITAN TECH ORD,1197316,5726 JP Equity,5726 JP Equity,Equity,UBS Cash,SDD,,22988.86432716,,0.00000000,0.00000000,0.00000000,,,,,,JPY,0.00000000,,,,1.00000000,,,,,,,,,,,,,,,$0.5b - $1b,9/3/2024,9/4/2024,9/6/2024,TPX,,1.00000000,0.00000000
9/26/2024,Japan,Japan,Health Care,"Otsuka  ",OTSUKA HOLDINGS ORD,15489907,4578 JP Equity,4578 JP Equity,Equity,BAML Cash,SDD,,,,0.00000000,0.00000000,0.00000000,,,,,,JPY,0.00000000,,,,1.00000000,,,,,,,,,,,,,,,> $5b,5/14/2024,5/22/2024,5/24/2024,TPX,,1.00000000,0.00000000
